file,n_size,difficulty,solved,nodes_expanded,time_seconds,solution_length,reason
3x3/dificiles/22.txt,3,dificiles,True,899,0.0135,20,OK
3x3/dificiles/23.txt,3,dificiles,True,825,0.0057,16,OK
3x3/dificiles/24.txt,3,dificiles,True,8783,0.1412,24,OK
3x3/dificiles/25.txt,3,dificiles,True,1568,0.0253,24,OK
3x3/dificiles/26.txt,3,dificiles,True,3346,0.0534,26,OK
3x3/dificiles/27.txt,3,dificiles,True,825,0.0033,18,OK
3x3/dificiles/28.txt,3,dificiles,True,908,0.0168,20,OK
3x3/dificiles/29.txt,3,dificiles,True,2298,0.0349,24,OK
3x3/dificiles/30.txt,3,dificiles,True,854,0.0035,16,OK
3x3/dificiles/31.txt,3,dificiles,True,12271,0.1721,28,OK
3x3/dificiles/32.txt,3,dificiles,True,6125,0.0993,24,OK
3x3/dificiles/33.txt,3,dificiles,True,826,0.0035,16,OK
3x3/dificiles/34.txt,3,dificiles,True,1112,0.0206,18,OK
3x3/dificiles/35.txt,3,dificiles,True,1408,0.0204,22,OK
3x3/dificiles/36.txt,3,dificiles,True,843,0.0086,18,OK
3x3/dificiles/37.txt,3,dificiles,True,912,0.0094,16,OK
3x3/dificiles/38.txt,3,dificiles,True,849,0.0058,20,OK
3x3/dificiles/39.txt,3,dificiles,True,3180,0.0499,26,OK
3x3/dificiles/40.txt,3,dificiles,True,1437,0.0252,18,OK
3x3/dificiles/41.txt,3,dificiles,True,1616,0.0304,20,OK
3x3/dificiles/42.txt,3,dificiles,True,9438,0.1417,26,OK
3x3/dificiles/43.txt,3,dificiles,True,4649,0.0825,20,OK
3x3/dificiles/44.txt,3,dificiles,True,1334,0.023,24,OK
3x3/dificiles/45.txt,3,dificiles,True,1125,0.0157,24,OK
3x3/dificiles/46.txt,3,dificiles,True,909,0.0116,20,OK
3x3/dificiles/47.txt,3,dificiles,True,2104,0.0346,24,OK
3x3/dificiles/48.txt,3,dificiles,True,6879,0.1197,28,OK
3x3/dificiles/49.txt,3,dificiles,True,1053,0.0142,22,OK
3x3/dificiles/50.txt,3,dificiles,True,3402,0.053,24,OK
3x3/dificiles/51.txt,3,dificiles,True,5320,0.086,26,OK
3x3/dificiles/52.txt,3,dificiles,True,1283,0.0238,20,OK
3x3/dificiles/53.txt,3,dificiles,True,1010,0.0129,24,OK
3x3/dificiles/54.txt,3,dificiles,True,864,0.0062,18,OK
3x3/dificiles/55.txt,3,dificiles,True,985,0.0082,22,OK
3x3/dificiles/56.txt,3,dificiles,True,917,0.0145,18,OK
3x3/dificiles/57.txt,3,dificiles,True,852,0.0037,16,OK
3x3/dificiles/58.txt,3,dificiles,True,1559,0.0387,22,OK
3x3/dificiles/59.txt,3,dificiles,True,1489,0.0285,22,OK
3x3/dificiles/60.txt,3,dificiles,True,2341,0.0404,22,OK
3x3/dificiles/61.txt,3,dificiles,True,4038,0.0638,26,OK
3x3/dificiles/62.txt,3,dificiles,True,1128,0.0174,22,OK
3x3/dificiles/63.txt,3,dificiles,True,3152,0.0583,22,OK
